City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Bambanglipuro,ID,2022-06-05 19:07:49,-7.95,110.2833,77.47,88,100,2.93
266,Sigli,ID,2022-06-05 19:07:50,5.3848,95.9609,80.53,81,100,2.91
267,Fort Nelson,CA,2022-06-05 19:07:50,58.8053,-122.7002,61.16,59,100,4.7
268,Naze,JP,2022-06-05 19:07:51,28.3667,129.4833,76.64,85,100,22.68
269,Manzhouli,CN,2022-06-05 19:07:51,49.6,117.4333,50.05,62,0,1.63
270,Sehithwa,BW,2022-06-05 19:07:51,-20.4667,22.7167,56.88,40,8,7.07
271,Lompoc,US,2022-06-05 19:07:52,34.6391,-120.4579,86.02,70,0,21.99
272,Kayerkan,RU,2022-06-05 19:07:52,69.3497,87.7602,28.53,79,14,9.26
273,Najran,SA,2022-06-05 19:07:52,17.4924,44.1277,78.73,16,0,1.1
274,Rapid Valley,US,2022-06-05 19:07:53,44.0625,-103.1463,67.62,76,100,5.75
275,Broome,US,2022-06-05 19:08:53,42.2506,-75.833,75.61,38,0,3.44
276,Touros,BR,2022-06-05 19:08:54,-5.1989,-35.4608,78.08,82,99,12.1
277,Wanaka,NZ,2022-06-05 19:08:54,-44.7,169.15,40.1,96,0,2.62
278,San Nicolas,PH,2022-06-05 19:08:54,18.1725,120.5953,79.86,82,100,6.64
279,Jonuta,MX,2022-06-05 19:08:55,18.0833,-92.1333,92.48,45,57,1.77
280,Urumqi,CN,2022-06-05 19:04:03,43.801,87.6005,67.15,37,0,2.24
281,Tsuruga,JP,2022-06-05 19:08:55,35.6455,136.0558,63.64,93,100,10.78
282,Puerto Del Rosario,ES,2022-06-05 19:08:56,28.5004,-13.8627,73.15,68,20,19.57
283,Tulum,MX,2022-06-05 19:06:38,20.2167,-87.4667,85.42,65,100,7.09
284,Sao Filipe,CV,2022-06-05 19:08:56,14.8961,-24.4956,76.62,69,5,11.61
285,Winneba,GH,2022-06-05 19:08:56,5.3511,-0.6231,79.7,80,100,9.24
286,Nsanje,MW,2022-06-05 19:08:09,-16.92,35.262,66.13,87,95,3.53
287,San Jeronimo,PE,2022-06-05 19:08:57,-11.9472,-75.2829,60.98,47,100,3.15
288,Esperance,AU,2022-06-05 19:08:57,-33.8667,121.9,55.22,70,100,8.03
